location,date,total_cases,new_cases,total_deaths,new_deaths,life_expectancy
Canada,2020-07-06,107815.0,421.0,8836.0,13.0,82.43
Canada,2020-07-07,108023.0,208.0,8843.0,7.0,82.43
Canada,2020-07-08,108334.0,311.0,8855.0,12.0,82.43
Canada,2020-07-09,108656.0,322.0,8865.0,10.0,82.43
Canada,2020-07-10,108984.0,328.0,8879.0,14.0,82.43
Canada,2020-07-11,109150.0,166.0,8882.0,3.0,82.43
Canada,2020-07-12,109348.0,198.0,8887.0,5.0,82.43
Canada,2020-07-13,109984.0,636.0,8895.0,8.0,82.43
Canada,2020-07-14,110350.0,366.0,8900.0,5.0,82.43
Canada,2020-07-15,110693.0,343.0,8914.0,14.0,82.43
Canada,2020-07-16,111144.0,451.0,8926.0,12.0,82.43
Canada,2020-07-17,111559.0,415.0,8936.0,10.0,82.43
Canada,2020-07-18,111875.0,316.0,8939.0,3.0,82.43
Canada,2020-07-19,112168.0,293.0,8943.0,4.0,82.43
Canada,2020-07-20,112938.0,770.0,8947.0,4.0,82.43
Canada,2020-07-21,113473.0,535.0,8954.0,7.0,82.43
Canada,2020-07-22,113790.0,317.0,8958.0,4.0,82.43
Canada,2020-07-23,114398.0,608.0,8966.0,8.0,82.43
Canada,2020-07-24,115115.0,717.0,8970.0,4.0,82.43
Canada,2020-07-25,115470.0,355.0,8974.0,4.0,82.43
Canada,2020-07-26,115789.0,319.0,8978.0,4.0,82.43
Canada,2020-07-27,116471.0,682.0,8991.0,13.0,82.43
Canada,2020-07-28,116871.0,400.0,9001.0,10.0,82.43
Canada,2020-07-29,117357.0,486.0,9006.0,5.0,82.43
Canada,2020-07-30,117677.0,320.0,9019.0,13.0,82.43
Canada,2020-07-31,118281.0,604.0,9025.0,6.0,82.43
Canada,2020-08-01,118523.0,242.0,9029.0,4.0,82.43
Canada,2020-08-02,118768.0,245.0,9032.0,3.0,82.43
Canada,2020-08-03,118973.0,205.0,9035.0,3.0,82.43
Canada,2020-08-04,119659.0,686.0,9043.0,8.0,82.43
Canada,2020-08-05,120033.0,374.0,9049.0,6.0,82.43
Canada,2020-08-06,120387.0,354.0,9055.0,6.0,82.43
Canada,2020-08-07,120903.0,516.0,9060.0,5.0,82.43
Canada,2020-08-08,121148.0,245.0,9064.0,4.0,82.43
Canada,2020-08-09,121367.0,219.0,9067.0,3.0,82.43
Canada,2020-08-10,122053.0,686.0,9074.0,7.0,82.43
Canada,2020-08-11,122389.0,336.0,9080.0,6.0,82.43
Canada,2020-08-12,122703.0,314.0,9085.0,5.0,82.43
Canada,2020-08-13,123180.0,477.0,9091.0,6.0,82.43
Canada,2020-08-14,123605.0,425.0,9095.0,4.0,82.43
Canada,2020-08-15,123825.0,220.0,9101.0,6.0,82.43
Canada,2020-08-16,124004.0,179.0,9106.0,5.0,82.43
Canada,2020-08-17,124218.0,214.0,9108.0,2.0,82.43
Canada,2020-08-18,125084.0,866.0,9118.0,10.0,82.43
Canada,2020-08-19,125408.0,324.0,9124.0,6.0,82.43
Canada,2020-08-20,125625.0,217.0,9127.0,3.0,82.43
Canada,2020-08-21,126319.0,694.0,9141.0,14.0,82.43
Canada,2020-08-22,126560.0,241.0,9142.0,1.0,82.43
Canada,2020-08-23,126817.0,257.0,9146.0,4.0,82.43
Canada,2020-08-24,127594.0,777.0,9154.0,8.0,82.43
Canada,2020-08-25,127903.0,309.0,9159.0,5.0,82.43
Canada,2020-08-26,128380.0,477.0,9164.0,5.0,82.43
Canada,2020-08-27,128836.0,456.0,9168.0,4.0,82.43
Canada,2020-08-28,129342.0,506.0,9181.0,13.0,82.43
Canada,2020-08-29,129639.0,297.0,9184.0,3.0,82.43
Canada,2020-08-30,129888.0,249.0,9185.0,1.0,82.43
Canada,2020-08-31,130918.0,1030.0,9193.0,8.0,82.43
Canada,2020-09-01,131422.0,504.0,9197.0,4.0,82.43
Canada,2020-09-02,131941.0,519.0,9199.0,2.0,82.43
Canada,2020-09-03,132527.0,586.0,9205.0,6.0,82.43
Canada,2020-09-04,133141.0,614.0,9206.0,1.0,82.43
Canada,2020-09-05,133511.0,370.0,9207.0,1.0,82.43
Canada,2020-09-06,133890.0,379.0,9209.0,2.0,82.43
Canada,2020-09-07,134295.0,405.0,9212.0,3.0,82.43
Canada,2020-09-08,135757.0,1462.0,9219.0,7.0,82.43
Canada,2020-09-09,136135.0,378.0,9223.0,4.0,82.43
Canada,2020-09-10,136956.0,821.0,9231.0,8.0,82.43
Canada,2020-09-11,137676.0,720.0,9231.0,0.0,82.43
Canada,2020-09-12,138164.0,488.0,9233.0,2.0,82.43
Canada,2020-09-13,138640.0,476.0,9236.0,3.0,82.43
Canada,2020-09-14,140098.0,1458.0,9249.0,13.0,82.43
Canada,2020-09-15,140900.0,802.0,9257.0,8.0,82.43
Canada,2020-09-16,141852.0,952.0,9262.0,5.0,82.43
Canada,2020-09-17,142879.0,1027.0,9267.0,5.0,82.43
Canada,2020-09-18,144053.0,1174.0,9279.0,12.0,82.43
Canada,2020-09-19,144607.0,554.0,9286.0,7.0,82.43
Canada,2020-09-20,145750.0,1143.0,9288.0,2.0,82.43
Canada,2020-09-21,147583.0,1833.0,9300.0,12.0,82.43
Canada,2020-09-22,148855.0,1272.0,9309.0,9.0,82.43
Canada,2020-09-23,149939.0,1084.0,9317.0,8.0,82.43
Canada,2020-09-24,151087.0,1148.0,9325.0,8.0,82.43
Canada,2020-09-25,152717.0,1630.0,9332.0,7.0,82.43
Canada,2020-09-26,153770.0,1053.0,9338.0,6.0,82.43
Canada,2020-09-27,155428.0,1658.0,9343.0,5.0,82.43
Canada,2020-09-28,157219.0,1791.0,9360.0,17.0,82.43
Canada,2020-09-29,158991.0,1772.0,9373.0,13.0,82.43
Canada,2020-09-30,161107.0,2116.0,9391.0,18.0,82.43
Canada,2020-10-01,162930.0,1823.0,9407.0,16.0,82.43
Canada,2020-10-02,165054.0,2124.0,9505.0,98.0,82.43
Canada,2020-10-03,166360.0,1306.0,9526.0,21.0,82.43
Canada,2020-10-04,168501.0,2141.0,9570.0,44.0,82.43
Canada,2020-10-05,171384.0,2883.0,9599.0,29.0,82.43
Canada,2020-10-06,173756.0,2372.0,9617.0,18.0,82.43
Canada,2020-10-07,175380.0,1624.0,9636.0,19.0,82.43
Canada,2020-10-08,177730.0,2350.0,9654.0,18.0,82.43
Canada,2020-10-09,180625.0,2895.0,9668.0,14.0,82.43
Canada,2020-10-10,182767.0,2142.0,9694.0,26.0,82.43
Canada,2020-10-11,184403.0,1636.0,9708.0,14.0,82.43
Canada,2020-10-12,185378.0,975.0,9720.0,12.0,82.43
Canada,2020-10-13,189489.0,4111.0,9752.0,32.0,82.43
